근린시설,전체,살인,강도,절도,폭력,성폭력
2324,4,3,1,4,4,3
2257,4,2,3,3,3,4
336,2,1,1,2,2,2
80,1,1,2,1,1,1
779,2,1,1,2,2,1
3508,3,3,1,3,3,3
5128,3,1,1,4,4,2
1092,4,1,3,5,4,4
1432,5,1,2,5,5,5
2378,5,4,4,5,5,5
2167,5,3,4,2,3,5
1644,4,1,3,3,4,5
2126,4,2,1,4,4,5
149,2,1,2,2,2,1
1054,3,1,2,2,2,4
1244,1,1,1,1,1,2
1058,4,4,4,3,3,3
940,4,1,3,3,4,4
887,3,1,1,4,4,2
3403,3,3,2,3,5,2
2185,2,1,1,2,2,3
6723,3,3,3,2,2,3
3482,2,2,2,2,2,2
194,4,2,2,2,3,4
2908,3,2,1,2,3,4
6944,4,2,4,3,2,5
6315,5,4,5,4,4,5
1108,3,1,3,2,3,3
3234,3,4,4,3,3,4
5586,3,4,4,3,3,4
2837,2,1,3,2,2,1
401,3,5,2,3,4,2
1461,5,5,4,4,5,4
1233,3,3,2,3,5,3
2306,4,5,3,3,4,5
1602,4,4,3,5,4,4
4838,4,2,2,3,3,5
5691,5,5,5,4,3,5
1014,4,1,1,5,5,4
2738,4,1,3,4,5,5
277,3,1,2,4,1,2
105162,5,2,4,2,2,4
376,3,3,1,2,1,4
1003,5,2,4,4,4,4
705,3,3,2,3,4,3
3985,1,1,1,1,1,2
2940,3,1,2,4,4,4
1615,3,1,3,4,1,3
3392,4,1,2,3,1,5
1053,2,1,1,1,1,4
1147,1,1,2,2,2,1
1571,2,1,2,4,3,2
1020,1,1,2,3,1,1
1600,5,3,5,3,3,4
2462,5,2,2,3,3,5
1383,5,2,4,3,2,5
0,4,2,4,3,2,5
375,2,2,3,2,2,2
813,3,1,2,3,5,3
1266,2,1,2,3,2,3
11741,5,4,5,5,4,5
6083,5,3,5,4,2,4
3216,4,1,3,4,3,3
647,2,2,4,3,3,3
1574,3,2,4,2,2,3
0,2,1,2,2,2,2
5471,2,2,2,2,2,3
3241,5,3,3,2,1,5
8350,5,4,4,3,2,5
1094,2,1,1,2,1,4
769,4,2,2,2,1,2
422,3,2,2,2,1,3
420,1,2,2,1,1,1
6284,4,2,3,3,3,4
776,5,2,4,3,3,4
829,3,2,3,1,1,2
1100,1,1,2,1,2,3
865,2,1,2,2,2,1
1973,4,2,1,1,2,4
3134,4,4,4,2,4,5
402,3,3,4,3,3,4
213,2,1,1,2,2,2
330,5,4,5,5,5,3
2968,3,2,1,4,4,5
104887,2,3,1,2,2,2
2366,2,2,2,2,2,3
152,3,5,3,2,2,2
